Sentiment Lables,Average Review Rating
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.2857142857142857 Negative: 0.7142857142857143,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.5849056603773585 Negative: 0.41509433962264153,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Positive: 0.0 Negative: 1.0,2
Positive: 0.25 Negative: 0.75,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.38461538461538464 Negative: 0.6153846153846154,3
Positive: 0.125 Negative: 0.875,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
Positive: 0.16666666666666666 Negative: 0.8333333333333334,3
Positive: 0.52 Negative: 0.48,4
Positive: 0.4642857142857143 Negative: 0.5357142857142857,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.1111111111111111 Negative: 0.8888888888888888,3
Positive: 0.2 Negative: 0.8,4
Positive: 0.8 Negative: 0.2,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.7 Negative: 0.3,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.19607843137254902 Negative: 0.803921568627451,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.36363636363636365 Negative: 0.6363636363636364,3
Positive: 0.1 Negative: 0.9,3
Positive: 0.6 Negative: 0.4,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.43478260869565216 Negative: 0.5652173913043478,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,1
Positive: 0.3888888888888889 Negative: 0.6111111111111112,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.5 Negative: 0.5,4
Positive: 0.5 Negative: 0.5,2
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Positive: 0.4897959183673469 Negative: 0.5102040816326531,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Positive: 0.75 Negative: 0.25,4
Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.7105263157894737 Negative: 0.2894736842105263,4
Positive: 0.5294117647058824 Negative: 0.47058823529411764,3
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Positive: 0.611864406779661 Negative: 0.38813559322033897,4
Positive: 0.25 Negative: 0.75,4
Positive: 0.8356807511737089 Negative: 0.1643192488262911,5
Positive: 0.2 Negative: 0.8,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.25 Negative: 0.75,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.125 Negative: 0.875,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.0 Negative: 1.0,2
Positive: 0.3 Negative: 0.7,3
Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.7368421052631579 Negative: 0.2631578947368421,4
Positive: 0.5 Negative: 0.5,5
Positive: 0.6949152542372882 Negative: 0.3050847457627119,4
Positive: 0.48 Negative: 0.52,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.45454545454545453 Negative: 0.5454545454545454,3
Positive: 0.2857142857142857 Negative: 0.7142857142857143,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.0 Negative: 1.0,4
Positive: 0.13333333333333333 Negative: 0.8666666666666667,3
Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Positive: 0.72 Negative: 0.28,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.5909090909090909 Negative: 0.4090909090909091,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.7175675675675676 Negative: 0.28243243243243243,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.2 Negative: 0.8,3
Positive: 0.625 Negative: 0.375,4
Positive: 0.29411764705882354 Negative: 0.7058823529411765,3
Positive: 0.375 Negative: 0.625,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.9 Negative: 0.1,5
Positive: 0.5306122448979592 Negative: 0.46938775510204084,4
Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.2727272727272727 Negative: 0.7272727272727273,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.5769230769230769 Negative: 0.4230769230769231,4
Positive: 0.46 Negative: 0.54,3
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.46875 Negative: 0.53125,3
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.859375 Negative: 0.140625,4
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.875 Negative: 0.125,5
Positive: 0.0 Negative: 1.0,4
Positive: 0.13793103448275862 Negative: 0.8620689655172413,2
Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.5909090909090909 Negative: 0.4090909090909091,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.45794392523364486 Negative: 0.5420560747663551,3
Positive: 0.3076923076923077 Negative: 0.6923076923076923,3
Positive: 0.3125 Negative: 0.6875,3
Positive: 0.4375 Negative: 0.5625,3
Positive: 0.5396825396825397 Negative: 0.4603174603174603,4
Positive: 0.6190476190476191 Negative: 0.38095238095238093,4
Positive: 0.4 Negative: 0.6,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.75 Negative: 0.25,4
Positive: 0.676923076923077 Negative: 0.3230769230769231,4
Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Positive: 0.45454545454545453 Negative: 0.5454545454545454,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.375 Negative: 0.625,4
Positive: 0.4722222222222222 Negative: 0.5277777777777778,3
Positive: 0.6 Negative: 0.4,4
Positive: 0.6428571428571429 Negative: 0.35714285714285715,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.55 Negative: 0.45,4
Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.8333333333333334 Negative: 0.16666666666666666,4
Positive: 0.16666666666666666 Negative: 0.8333333333333334,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.5365853658536586 Negative: 0.4634146341463415,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Positive: 0.5471698113207547 Negative: 0.4528301886792453,4
Positive: 0.25 Negative: 0.75,3
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.6 Negative: 0.4,4
Positive: 0.0 Negative: 1.0,4
Positive: 0.4 Negative: 0.6,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.6363636363636364 Negative: 0.36363636363636365,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.8028169014084507 Negative: 0.19718309859154928,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.2 Negative: 0.8,3
Positive: 0.0 Negative: 1.0,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.25 Negative: 0.75,3
Positive: 0.41379310344827586 Negative: 0.5862068965517241,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.75 Negative: 0.25,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.5212765957446809 Negative: 0.4787234042553192,4
Positive: 0.0 Negative: 1.0,2
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.7818181818181819 Negative: 0.21818181818181817,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.7741935483870968 Negative: 0.22580645161290322,5
Positive: 0.6881720430107527 Negative: 0.3118279569892473,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.46153846153846156 Negative: 0.5384615384615384,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.68 Negative: 0.32,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.75 Negative: 0.25,4
Positive: 0.16666666666666666 Negative: 0.8333333333333334,3
Positive: 0.125 Negative: 0.875,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.6507936507936508 Negative: 0.3492063492063492,4
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0 Negative: 1.0,4
Positive: 0.43859649122807015 Negative: 0.5614035087719298,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.7837837837837838 Negative: 0.21621621621621623,4
Positive: 0.4943820224719101 Negative: 0.5056179775280899,4
Positive: 0.5833333333333334 Negative: 0.4166666666666667,4
Positive: 0.26666666666666666 Negative: 0.7333333333333333,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.5 Negative: 0.5,5
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.5662650602409639 Negative: 0.43373493975903615,4
Positive: 0.425 Negative: 0.575,4
Positive: 0.2 Negative: 0.8,3
Positive: 0.0 Negative: 1.0,1
Positive: 0.2916666666666667 Negative: 0.7083333333333334,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.7777777777777778 Negative: 0.2222222222222222,4
Positive: 0.375 Negative: 0.625,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.7352941176470589 Negative: 0.2647058823529412,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.4 Negative: 0.6,3
Positive: 0.46153846153846156 Negative: 0.5384615384615384,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Positive: 0.4666666666666667 Negative: 0.5333333333333333,4
Positive: 0.125 Negative: 0.875,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Positive: 0.7648401826484018 Negative: 0.23515981735159816,4
Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.6086956521739131 Negative: 0.391304347826087,4
Positive: 0.1111111111111111 Negative: 0.8888888888888888,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.5384615384615384 Negative: 0.46153846153846156,4
Positive: 0.0 Negative: 1.0,4
Positive: 0.7941176470588235 Negative: 0.20588235294117646,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.75 Negative: 0.25,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,5
Positive: 0.0 Negative: 1.0,3
Positive: 0.4117647058823529 Negative: 0.5882352941176471,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.2 Negative: 0.8,2
Positive: 0.4318181818181818 Negative: 0.5681818181818182,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.2222222222222222 Negative: 0.7777777777777778,3
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.375 Negative: 0.625,4
Positive: 0.5517241379310345 Negative: 0.4482758620689655,4
Positive: 0.5 Negative: 0.5,3
Positive: 0.25 Negative: 0.75,3
Positive: 0.28125 Negative: 0.71875,3
Positive: 0.4 Negative: 0.6,4
Positive: 0.5714285714285714 Negative: 0.42857142857142855,3
Positive: 0.4523809523809524 Negative: 0.5476190476190477,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0 Negative: 1.0,4
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.7857142857142857 Negative: 0.21428571428571427,4
Positive: 0.34375 Negative: 0.65625,3
Positive: 0.6153846153846154 Negative: 0.38461538461538464,4
Positive: 0.6 Negative: 0.4,4
Positive: 0.4 Negative: 0.6,2
Positive: 0.5 Negative: 0.5,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.8695652173913043 Negative: 0.13043478260869565,5
Positive: 0.6875 Negative: 0.3125,4
Positive: 0.2727272727272727 Negative: 0.7272727272727273,3
Positive: 0.47058823529411764 Negative: 0.5294117647058824,4
Positive: 0.5454545454545454 Negative: 0.45454545454545453,4
Positive: 0.16666666666666666 Negative: 0.8333333333333334,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.0 Negative: 1.0,2
Positive: 0.0 Negative: 1.0,3
Positive: 0.34782608695652173 Negative: 0.6521739130434783,3
Positive: 0.5 Negative: 0.5,4
Positive: 0.8 Negative: 0.2,5
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.0625 Negative: 0.9375,2
Positive: 0.75 Negative: 0.25,5
Positive: 0.7142857142857143 Negative: 0.2857142857142857,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,3
Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Positive: 0.40625 Negative: 0.59375,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.8 Negative: 0.2,4
Positive: 0.7241379310344828 Negative: 0.27586206896551724,4
Positive: 0.6 Negative: 0.4,5
Positive: 0.0 Negative: 1.0,2
Positive: 0.5 Negative: 0.5,4
Positive: 0.726775956284153 Negative: 0.273224043715847,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.9333333333333333 Negative: 0.06666666666666667,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.6481481481481481 Negative: 0.35185185185185186,4
Positive: 0.38461538461538464 Negative: 0.6153846153846154,3
Positive: 0.7159090909090909 Negative: 0.2840909090909091,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Positive: 0.75 Negative: 0.25,4
Positive: 0.0 Negative: 1.0,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.0 Negative: 1.0,2
Positive: 0.0 Negative: 1.0,4
Positive: 0.5 Negative: 0.5,4
Positive: 0.25 Negative: 0.75,3
Positive: 0.5833333333333334 Negative: 0.4166666666666667,4
Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
Positive: 0.27586206896551724 Negative: 0.7241379310344828,3
Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
Positive: 0.5 Negative: 0.5,3
Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Positive: 0.5 Negative: 0.5,5
